Name,Country,Visited,Reviewed,Age,Experience Level,Program,Rating,Title,Review
Linda,UG,Visited: May 2016,07-Jun-16,20-35,2-5 safaris,Safari.com,1,Not satisfied,"Please do not book at Krugerpark.com. We had booked the 3-days Safari. After several email contact we succeed to let them know we will drive by ourself inside the gate to the camp. That was no problem they said. Arriving at the gate we had to pay to enter the gate again (R560) The gate fee was in the package we booked, so we already paid for it. Arriving at the camp, nobody knows about us. There was no reservation. Tried to chat with Krugerpark.com, nobody responded. Then we call them, I couldn't understand a word they where saying because of the bad connection. They called me back and gave a reservation number. (The calles costed me R300) Back to the reception, nothing to find again even with the reservation number. Asked the reception if they can contact Krugerpark.com for us. Finally the found something. Krugerpark.com called the driver and he picked us up finally, already to late for our first game drive. Back in  Holland again I started contact Krugerpark.com to get our money back for the gate fee and my telephone costs. Pff not funny anymore, I think I had to explain 10x what happened to the same lady. 3 months later (february), sending several reminder emails I finally got an email that they will refund my money. No it is june and I still haven't received any money. "
Lindsay W,US,Visited: July 2022,09-Aug-22,35-50,over 5 safaris,Unlimited Tours & Safaris,2,Sadly Disappointed.,"I¢®?ve been on mobile safari before, many times. This is the first time I¢®?ve ever had so much anxiety on a safari and been so disappointed. 

We paid for 6 nights safari, 2 nights hotel in Maun, 3 hour Mokoro ride and transport to and from the airport. We paid 7 months in advance. 

3 days before leaving, we reminded them of our arrival. They asked us who was picking us up and where we were staying. That was their job. We sent them the invoice they sent to us where this was covered and they said they had it under control. 

The day we were supposed to leave, our flights were cancelled (not their fault) but I tried to call and let them know of the updated flight. All calls went unanswered. They finally responded to an email saying they got the updated information and we wouldn¢®?t get our money back for the hotel on arrival night (fine, last minute change) but that the hotel wasn¢®?t available for the final night either because of ¢®¡Ærenovations¢®¡¾ which was odd, the last night was never impacted. Why was it suddenly unavailable? I think it¢®?s because they completely forgot. 

We start our safari and the car is unreliable. I¢®?m not talking old, refurbished or dusty. The car wouldn¢®?t start half the time, there would be smoke coming out from under the hood, burning smells, random wheels stopped turning mid-drive and the passenger door would randomly open mid-ride. The guide was constantly having to put in motor oil, jump the car, be under the hood and working on the tires to get them moving again. He even had go tie the passenger door so it would stop opening while we were moving. 

The guide had zero knowledge of our Mokoro ride and where we were staying in Maun. He called numerous times at each gate we passed - calls went unanswered for days. He even went to the gates while we took an afternoon naps to try to resolve everything but said no one answered or no one called him back. The Mokoro ride eventually happened, but only because we armed the guide with proof we paid for it. 

The guide also said he¢®?s worked for many mobile safaris. They usually give a print out with all the details but he didn¢®?t get one for us. He said he was called 2 days before (conveniently around the time we reminded them of the safari) and everything was instructed over the phone. 

The crew was fine, the food was good though we ate cold cuts everyday for lunch, and the guide showed us all we came to see but it felt like our safari was completely forgotten by Unlimited, then slapped together last minute. If we hadn¢®?t reminded them, I bet we would have been stranded at the airport. How can you pay a company thousands of dollars and have to remind them you paid for a safari? 

When I thought it was all over and we just go to the airport now, Unlimited had one last surprise. They didn¢®?t pick us up from the hotel to the airport. They didn¢®?t bother to tell us there was a problem with the car until we called, and they weren¢®?t going to pick us up until 1 hour before the flight - leaving us no time to get through passport control, baggage, security and board. The hotel called a taxi. Thankfully we did, we arrived with only 5 minutes to spare before boarding. 

When I got home, I saw they had taken a high profile client out based on their social media posts, so I guess that took priority over us. It was upsetting considering we saved up for 2 years for a mother-daughter safari and we should have just gone with someone else we knew and trusted. "
Linn,IE,Visited: August 2013,13-Apr-17,35-50,over 5 safaris,Sandland Tours and Safaris,1,Worst safari agent ever!,"This is the most unprofessional and worst agent we've dealt with ever!

We booked our safari through a company in Kenya but for the Tanzanian part we were outsourced to Sandland Tour, Arusha.  

We and also an other girl in our group (who had booked with different agent in Kenya) had to all the time argue and pin point what was included in our intiniary.  If we haven't had the out print to show them they would have over ruled us on everything and cut things off.  Exin our intinary we were supposed to drive to Serengeti via Olduvai Gorge.  We drove right passed it.  We were even supposed to have our lunch there, whitch did not happen.
First day 2 individually travelling guys joined us, both of them with different intinary.  Second day they were sent to a different group.  They were supposed to leave 30 min before us but they were there still waiting when we left.
First night at camp my husband and I got a tent together as we were a couple but the girl and the two guys , who all traveleld indvidually and didn't know each other, were placed in the same tent.  The girl of course argued and after hard discussion the girl got a tent for her self.  But the guys still had to share.

As they also changed the order of the itiniary we were short cut on things.  
Also they took us to Tarangire park, whitch we did not have in our itiniary.  This led to that we had far less time in Serengeti than what our plan said and we payed for.

 They also skipped breakfast one day.  When they wanted to do so second day we told the guide and the chef that we won't have it.  So they ahd to give us breakfast anyway.  But of course resulting in less time game driving as they didn't start the day earlier like we requested to not to miss out on time of game drives.  We saw other groups start earlier with breakfasts so they could get sunrise in the parks.  

Our guide, George, was not competent and showed very little interest in making a good safari for us.  He knew less about animals/trees/plants/birds than we did.  Many questions he didn't even answer. We did not enjoy the atmosphere on the safari and didn't feel comfortable at all.  In the end we were just happy to be finished with the safari in Tanzania and hoped we would arrive safetly back to Kenya as we felt we could not trust them at all.  

When the safari was over and we were supposed to get transport back to Arusha as the other girl had one more day with safari.  George, the guide just left both us and the girl with no words.  Him and 2 others drove off, and we never saw them again.  The girl was supposed to have an afternoon game drive but at 5pm she was still at the camp.
We sat there with a stranger who spoke barely english as our driver and with  no information and we were waiting for almost 2 hours before we left for Arusha.  2 hours we could have spent more on game drive or been in Arusha for sight seeing. 

The day we were supposed to get bak to Nairobi we were supposed to have breakfast at 7am as our transport was to leave at 7.30 from the hotel.  We were in the restaurant at 6.55am, they didn't give us the food before 7.25 even the chef and 2 waitress's were there fromt he moment we came.  We tried to tell them several times that we have to leave at 7.30 but to no help.

The day we arrived in Arusha from Nairobi the boss, Abraham wouldn't give us dinner as they said it was not included.  After showing them the intiniary and discussing and making us wait 3 hours they said we could have dinner.  

It was very unprofessional and very unfriendly customer service. If we knew what we knew to day we would have skipped Tanzania all together as it actually led to no pleasant part of our holiday than what it did good.  Unfortunately waste of money.  Make sure when you book safari that it's the same agent handling your safari all the journey."
Lisa,US,Visited: December 2016,09-Mar-17,50-65,2-5 safaris,Katona Tours & Travel,2,Less than expected for a custom tour,"Communications with the agency were prompt and polite and included the attractions I wanted to see but I paid for a custom tour (I was the only client), expecting a great guide to tell me all about the land, flora, fauna and people along the way of my 5 day trip.    My ""guide"" was a driver, not a guide and on long stretches of driving (some up to 8-9 hours), he did not engage me unless I kept asking specific questions.   They didn't have wildlife or bird guide books in my vehicle to help me make sense of what I was seeing.   I also had issues with the rude guide they  handed me off to in Bwindi to see the Batwa people, who tried to steer me to a Bachiga village instead of the Batwa one that I had specifically asked to go to.

The attractions themselves did not disappoint Kibale for Chimpanzee tracking was great--I was dropped off at the park and a ranger took over from there.  The Kazinga Channel boat tour was superb, the experience in Bwindi Impenetrable Forest for gorilla trekking with their rangers was an incredible.

 In all fairness I contacted Jackie at the main office and let her know my concerns and she was very apologetic, so I assume she has fixed the problem(s).  Perhaps if it had been a group, I wouldn't have these issues, but as a solo traveller, I felt I had paid a lot for a lesser level of service."
Lisa,AU,Visited: February 2022,11-Feb-22,35-50,2-5 safaris,Adventure Dragon Safaris,1,Francis Otieno is a SCAMMER!,"Francis Otieno is a seasoned scam artist operating as a tour operator 'Adventure Dragon Safaris'. Under the suggestion of the safari driver (who was working for this scammer for the first time thus didn't know him), I have filed a police report and he has been issued with an OB number.

I could go into a lot of detail, but in short, he actually pretends to work for a registered company called Big Safari Tours and he didn't fully honor the tour I paid him for. On day 2 of the safari, the driver said he had not been sent the park fees and because we were such a long way, we had to pay for these (again) and hope he would refund us the money later. Of course, he turned his phone off. Back in Nairobi, the guide managed to get a hold of him, but he refused to refund the money so effectively, he had stolen those park fees even though it was part of our agreed safari tour. That, along with impersonating a registered company, is what is in the police report.

Foolishly, I did not verify that he worked for Big Time Safari until after I paid him the deposit in his MPesa account, in which he issued me with a receipt from his 'sister' company 'Adventure Dragon Safaris' with an official-looking logo. I couldn't verify with KATO that his 'business' is registered. While I wondered whether he was going to turn up at all and run off with my deposit, he did turn up, so I thought I was simply going to get what I paid for but with another company. I was obviously wrong. He is very manipulative, but the lies started becoming?obvious when he?suggested additional activities at clearly inflated prices (he quoted $150 for an activity I already knew was $60). I also discovered that he overcharged me for the actual tour too.

I acknowledge that all this wouldn't have happened if I had done my due diligence and had not been so trusting, but as it has happened now, all I can do is warn others not to make the same mistake as I did. I feel rather stupid because normally, I verify these things on Trip Advisor and such. I'm not the first person he has scammed, but I do hope I'm the last. Given he hasn't even changed his phone number or Facebook for several years, I feel it has been too long that he has been getting away with it. He told me he recently bought a new car (he's also an Uber driver). It's probably no wonder with all the money he continues to steal from people.?"
Lisa,US,Visited: March 2020,01-Apr-20,50-65,first safari,Karibu Safaris In Kenya,2,Robert was responsive and staff friendly but.............  NOT an overall great experience - Sadly,"Robert was very responsive.  In fact, I contacted a few companies and thought that I was working with Robert for a couple of weeks to find out that it was another company.  A couple of days before I thought I was going on Safari, I found out from the other company that it wasn't Karibu and didn't think I would have a chance to go on a safari last minute.  I called Robert and he said he needed to call me back to see if it was still possible.  I was then confirmed for a 7 day safari that was to start in Masai Mara and then go to Amboseli as the last park.  He also said that I could pay in Shillings since I did not have USD. (I was on a working visa and had been in the country for 3 months, so only had Shillings)

I was greeted a few days later by a driver who was picking me and taking me to the office to start my safari.  I didn't think any of it.  Got to the office and signed my paperwork and paid.  Was brought downstairs and put in the same low rider vehicle that the driver picked me up in.  I just thought the driver was taking me to the place were the Open top Vans or jeeps were going to be.  After the driver started to drive out of town, I questioned him on the vehicle and he said no that it was just me and him and in the car.  He then said, instead of going to Masai Mara, we were going to go to Amboseli first and go backward because the car can't be driven in Masai Mara.  I told him that I was not happy and didn't think this was going to work.  He said that even with a car, It wouldn't be an issue getting great pictures in Amboseli.  After trying to contact the office and not getting through, I felt I had no choice and agreed.  SADLY, not true.  

Don't get me wrong, the driver was a GREAT guy...... and due to CoronoVirus and the country shutting the borders and airports down, I had to leave after the first full day.  Karibu did give me a partial refund (only for 4 days of park fees - about 200) but I was hoping for more due to the fact that I was in a car that was so low, the undercarriage of the car came off and we couldn't go that far into the park because it would flood out or scrap. Plus trying to take pictures so low in this car with tinted windows was a nightmare.  I only got one day and it really didn't give me the happy experience I was looking for.  When I got home aside from the photos on the hilltop from lunch, they were not great!!!! Not from my cell phone or borrowed camera.

I took pictures of the car but it doesn't allow me to add them onto this review sadly.  You will see what a disaster of a car it was for a safari.

Like I said Robert was nice and replied back quickly and Raymond the driver in the car was nice and felt bad.  The staff at the tented camp was great too..... 

If it wasn't for the LOW RIDER CAR, and the fact that they didn't refund me in full the money for the other 5 days, I think this company might have been fine which is the reason why I gave them 2 stars.  I feel bad for rating so low but it just wasn't practical putting someone so low in a car with dirty tinted windows for a safari after they confirm via email that the vehicle was an open-top Van. I honestly would have rather not even gone and saved myself a lot of money. "
Lisa Longo,FR,Visited: February 2022,27-Feb-22,20-35,over 5 safaris,Epic Uganda Vacation,1,Do not go with Epic Uganda Vacation,"Travel from February 14 to February 23

Agency: Epic Uganda Vacation

Driver/Guide: Moses Niwamanyaa

Flight: Luxembourg ? Kigali ? Entebbe by KLM

Planned route:
?	Entebbe
?	Murchison
?	Kibale
?	queen elizabeth
?	Bwindi
?	Lake Bunyonyi
?	Entebbe

Hello

Here is my feedback following a trip with the local agency Epic Uganda Vacation as well as my feedback on the lodges and my itinerary.

Every year, I travel with my dad. Not living in the same country, we meet somewhere in the world for an average vacation of 8-12 days.

This year, we chose Uganda, from February 14 to 23.

I chose Epic Uganda Vacation and talked with them to put together an itinerary that met our expectations.

3 weeks after paying for half of the trip, the agency told me that 3 of the lodges I had selected were finally fully booked. At the time, although disappointed, I found new lodges that we liked and was able to confirm these with the agency. After having been able to check the tourist influx in Uganda, I doubt today that no lodge was really full. First disappointment.

Having to work every day for about an hour, I asked the agency for confirmation several times that internet access would be possible on our itinerary. They assured me that was the case. And¢®? that was not the case at all. The lodges generally have a router at the restaurant but these only work very slightly. I bought a sim card with internet data, but without 4G (or very little) during our itinerary, it was not useful.
The agency also told me that they had internet at all times in the vehicle. The router had an autonomy of about 30 minutes in the car and had to be recharged on mains plug after that (thus completely useless during road transfers of several hours).
If the agency had been honest with me, I could have managed not to work during this period, but that was not the case. Second disappointment.

Moses, our guide, supposed to be fluent in English but we had a hard time understanding him. Third disappointment.

My father arrived in Entebbe on February 14th in the early afternoon and I in the late evening.
Our departures were scheduled as such: my father had to leave at 3 pm on February 23th (and be at the airport by 1 pm at the latest) and my flight was leaving at 11pm on February 23th (so I had to be at the airport by 9pm).

ENTEBBE
We spent the first night after arriving at the Airport GuestHouse hotel.
Very well located (close to the airport), quiet, spacious and very pretty rooms. The service is pleasant and the food ok.

MURCHISON
The next morning we drove to Murchison with a stop at the Ziwa Rhino Sanctuary. The walk is pleasant and the park well maintained. The proximity to the rhinos is original, impressive and is a very good experience.

Arriving in Murchison, we settled in at the Twiga Safari Lodge.
The rooms are spacious, clean and the view right at the foot of the Nile is splendid. The service is very good, the food excellent.

The next day's program was to take us to the base of Murchison Falls, by boat cruise and then up the falls to see them from above.
We finally stopped more than a kilometer from the falls for a short minute, after 2 hours of boating and returned to the starting point.
Explaining this disappointment to our guide, he finally took us to the top of the falls.

The Nile is breathtaking, powerful, the view is magnificent. This place is not to be missed under any circumstances.

KIBALE

Depart for Kibale with a stop at 'Amabere Ga Nyinamwiru. A stop with a visit to the caves and the wonderful waterfall.

Arrived at Kibale, we settle in at Turaco Treetops. Spacious, magnificent rooms, in the middle of the forest, with a breathtaking view. Very good service, good food.

The next morning, we leave for the chimpanzees trekking. An experience to live absolutely, which is indescribable. We were lucky enough to be able to find the family very quickly, and to observe them on the ground, in the trees, eating, playing, preening, ¢®?

Following this magnificent experience, we did the Bigodi Wetland nature walk, which I also recommend. The different village houses, the tasting of banana beer or banana gin, and the walk in the swamp allow us to discover this ecosite which is absolutely splendid.

QUEEN ELIZABETH NATIONAL PARK
Transfer to Queen Elizabeth for a day of game drive and installation at Pumba Safari Cottages. A hotel well below the range we had paid for. A new disappointment. The view is beautiful, the bed comfortable, but the room is tiny. The service is very bad and the food too.

The next day, we drove on the way to the Ishasha sector to continue our game drives and hope to find the trees climbing lions (bad luck, we did not find them). Installation at the Topi Lodge. Beautiful rooms, impeccable service, very good food.
In general, the landscapes of Queen Elizabeth NP are splendid, but if you are used to safari in Kenya or Tanzania, the fauna is poor.

BWINDI IMPENETRABLE NATIONAL PARK

After breakfast, direction Bwindi by a catastrophic road. Off the tracks, the road to access Bwindi is a mountain road with a huge gap on the side, huge crevasses, significant road insecurity (and yet I have traveled before in a lot of countries where the roads were neither finished nor started).

Installation at Bweza Gorilla Lodge, which is one of the most beautiful lodges I have had the opportunity to see. The rooms are spacious, splendid and the view breathtaking. The food is good and the service is great.

The next morning, departure for the Gorilla Trekking. We hiked about 6 hours, including one with the gorillas. The forest is aptly named impenetrable. A good physical condition is necessary to enjoy this trek but seeing a silverback is a reward that has to be earned. The flora of this forest is also a splendor.
We loved meeting the gorillas and observing them.

Unfortunately, unlike the trek with the chimpanzees where THEY were our guides, the rangers disturbed the gorillas a lot during this ¢®¡Æhunt¢®¡¾. By dint of wanting to please the tourist by removing the branches behind which the gorillas settled (including a female with her three-week-old baby), one of them must have come to get angry and hit the ground in front of a ranger.
I think despite everything that it is an experience to live, hoping that our case was isolated and that most guides and rangers are more respectful.

We leaved the forest with wet feet (you have to walk in streams, in the mud, ¢®?) and clothes full of mud (we fell a lot ah ah).

BEGINNING OF BIG PROBLEMS
After our visit with the gorillas, we were supposed to go doing our PCR tests in anticipation of our departures the next day and then reach Lake Bunyonyi for a relaxation before the return route to Entebbe and our respective return flights the day after. This whole part (had to be) had been organized by the agency.

Arrived at the laboratory in Kabale (still being dirty and with wet feet), it is explained to us that I could have my results before my departure the following evening but that my father could not have his before his scheduled departure the following day at 3pm. Big panic! 
Our guide tries to negotiate but fails. For more than two hours, we stayed there watching our guide making calls and talk with the lab technician, hardly speaking to us anymore, not keeping us informed of events or what solutions we had. In the meantime, I took my test on the spot since they assured that the results would arrive no later than 4 pm the next day and that I had to be at the airport by 9 pm.

Also, we found a flight for my father that could leave the following evening, which would have allowed the tests to arrive on time. Our guide refused this option and forced us to take the road to Entebbe at that time for an express test there, open 24 hours a day. We fell from the clouds.

We of course had no choice and left for 9 hours of driving, always with wet feet and disgusting clothes, without even going to the lodge which was planned at the lake and which we had paid for, after 6 hours of hiking + hours waiting at the lab.

We arrived at the express laboratory at 4 am, after an extremely dangerous 9-hour drive (trucks driving with full headlights and coming straight at us, for example) where our guide refused to pay the difference between the standard test and the express test at first. He finally accepted full responsibility and paid the difference.

We arrived at the hotel (Airport GuestHouse, the same as on arrival) at 4:45 am and my father received his results at 6 am.
After having slept for 2 hours, we had breakfast and the spirits had calmed down, reassured to know that my father was going to be able to take his flight.

The guide apologized, refunded me the lake lodge we hadn't been to, and seemed sincere in taking responsibility.

I had planned to normally go visit the Mabamba swamp after my father left at the airport, for $100, to be given to the guide. Counting on the sincerity of our guide's apology, I decided to keep this plan and go with him. I asked him to call the lab before leaving for the ferry to make sure my results would be there as planned, between 3 and 4 pm. The lab apparently confirmed.

To get to the peninsula, you have to take a ferry. Count at least half an hour for all cars to board, cyclists and pedestrians (passengers cannot stay in vehicles during boarding and crossing).

The Mabamba swamp is absolutely beautiful and I had the opportunity to see a shoebill there as well as a lot of other birds. Do not hesitate to go there, it is really worth it. And this little canoe safari is really soothing.

At 5 pm, as we head back to the mainland, I asked my guide to call the lab back because my results had still not arrived. From the tone of his voice, I immediately knew there were a problem. After hanging up, he told me that my results are not ready and that they will not be ready until 9:30 pm (I had to be at the airport at 9 pm).

I was then completely panicked, alone in Uganda, and asked him to rush to the ferry to take an express test (the results of which normally arrive in 2 hours). We arrive at the ferry, fortunately there is a place for us. The time of boarding, crossing and road to the hotel, we arrive on site at 7 pm and my guide has still not taken the responsibility to call the express lab. He finally does it, summoned by the manager of the hotel to whom I tell my problems.

The laboratory assistant arrives on site, gives me the express test and my guide refuses to pay it. Exasperated and absolutely wanting to go home, I handed him ?©¡100 to pay for my test (he had to go to the bank to change them into shillings, the lab not accepting euros).
So they go together to the bank, him and the laboratory technician, each in its car. Arrived at the bank, the technician gets out of her car, and my guide leaves with my money¢®?¢®?¢®?¢®?

Despite the warnings of the laboratory, the hotel manager and mine for more than two hours, he will not return. The manager took his license plate number and threatened to call the police.

Fortunately, the laboratory still agreed to do my test, seeing the state I was in and sent me the results. I offered to pay them (so I would have paid for 3 tests in case) but they refused, the fault being entirely that of the guide (and moreover, everyone had seen that I had given him the 100?©¡ for the test ? and not to settle the walk at the swamp as he seemed to justify after the threat of the police).

At 9:45 pm, while I was waiting for boarding at the airport, I received a message from the hotel and the laboratory telling me that he had come to apologize for his bad decision, that he had paid the test and wanted to take me to the airport. A few minutes later, he was also texting me apologizing.

CONCLUSION
Uganda is an absolutely beautiful country with splendid landscapes. The encounter with the great apes is an incredible experience.
The country is, I think, the poorest and saddest I have seen and the roads in a catastrophic state and a great danger, especially when there is a void of several hundred meters nearby.

I have always used Tripadvisor to choose my local agencies and itineraries, but it seems all the more important to me today after this experience.

I recommend this itinerary if you are in good shape and physical health, if you are adventurous and if you have the right guide/driver.
The country will certainly have changed in a few years and if I had known, I think I would have waited before going there.

Of course, I absolutely DO NOT RECOMMAND Epic Uganda Vacation.

Do not hesitate if you have any questions.

Lisa
"
Lisa Ru,UK,Visited: August 2016,22-Aug-16,50-65,over 5 safaris,Naturreisen Uganda,1,"Horrible Tour Company, Horrific Experience, Very Negative.. The Two LadiesScam Artists.. Stay AWAY!","The two ladies are rude and unqualified to complete tours.  Tours are not properly planned and horribly exectued. You will pay everything accommodations that are 20 USD a night, will be charged 200 USD!!! Your 4x4  will break down, and be replaced  by an older 4x4. When stranded on the side of the road, both ladies will not be contactable, and when you reach them, they will say ""Let Me Tell You Something..."" and make excuses on why the vehicle is poor condition and say hang up the phone on you.  You will wait for hours in the heat on the side of the road, or late at night on rainy wet dangerous roads. Your life will be in danger and your safety and security will be compromised.  They will change the itinerary with out informing you and or contacting the driver. And when asked questions, they will not be reachable again or they will yell at you on the phone and then shut the phone and turn off the device, leaving you stuck. There answer will always be ""Let the driver figure it out, I am driving"" or shut the phone when you are serious distress. They will rob you of such an incredible country with so much to offer. They will not know the location of specific activities, they will overcharge you and say ""No"" after yes earlier was already confirmed. I cannot imagine a tour service company can talk to a customer in such an extremely rude way. They are not able to adapt to changes in the scheduling based on weather, and roads and conditions and will say ""If you miss the activity you will not be refunded and it is your fault."" There idea of tour operator is simply booking the accommodations, overcharging, and leaving you fend for yourself. Overall, I wasted the best experience of Uganda, which is an amazing country.  While I understand that no tour is perfect and mistakes happen, I do expect any company to try to make things right in the end, and not yell and scream at the customer and especially hang phone up on you while stranded because of a hazardous vehicle.  I found their lack of integrity on the follow up shocking. And I'm sad because we were psychologically treated like second class citizens and missed what Uganda has to offer. 
"
Lissy,KE,Visited: November 2020,23-Nov-20,35-50,over 5 safaris,Bonfire Adventures,1,They are terrible. Very poor customer service.,"They promise a lot but deliver nothing. What was meant to be a guide was just a rude semi illiterate driver who had no clue about what a guides role is, never mind that we had been promised that we would have the services of an 'experienced tour guide'. Poor customer experience. You do not get value for money. They are big on brand, but zero content. "
Liu,CN,Visited: September 2023,29-Nov-23,20-35,first safari,Seven By Far Travel,1,Don¢®?t choose Seven by far as your Kenya tour agency,"This was an extremely disappointing service experience. Shocking, Unbelievable,infuriating and even desperate.
Seven by far is an untrustworthy, extremely unprofessional company that only good at avoiding responsibilities.Complete lack of credit and integrity. I strongly advise everyone to never choose seven by far as your agency to Kenya and Tanzania. They will ruin everything!
Imagine what kind of experience it is when you are in a completely strange environment, in a strange country, without any preparation,BUT can't reach your travel agent.We felt so  helpless!They didn¢®?t even pay the accomodation money to the hotel!We certainly had the ability to take the initiative to resolve some of the issues, and in fact we did, under duress, because if we didn't act, our entire vacation plans would go down the drain. But what about our pre-agreed contract? We gave an offer and you accepted it, and since you accepted it, it means that you should have the ability to arrange everything within the budget, right?No one forced you to accept it, we paid for it, but then you played the disappearing act and just left us four girls in a camp that was downgraded without any prior notice. Instead of being able to enjoy our vacation and have fun every day, we have to act as seven by far¢®?s employees and solve THEIR business problems. May I ask if Seven by far will pay us a salary?
The truth is that there was already an sign of this during the pre-negotiation of the trip and budget, and after we paid the deposit, SEVEN BY FAR's attitude took a 180 degree turn, Mr.Sylvester blocked me on WhatsApp,just to intimidate us into thinking that they were going to run away with the money at any moment, what a ridiculously childish act! Unbelievable!
During our travels in Africa, seven by far repeatedly defaulted on payments to our partner companies, drivers, guides, and hotels, causing our trip to be irreparably affected. (FYI this is not the first time seven by far has done this.) There was even fake money involved, I am speechless.Not mention that they downgraded our accommodation many times without any prior notice.
When we finally met with the person in charge of seven by far, the lady promised us that she would compensate us, and then we also negotiated the amount of the payout on WhatsApp (although the amount could hardly make up for our loss), but after all this time we still haven't gotten the money, and Mr.Sylvester would only say over and over again that it's being processed, so please bear with them.
So one of us posted a bad review on safari booking and guess what?Mr.Sylvester quickly contacted us and said no more compensation. Haha! What a shameless and unrepentant businessman!
You are a shame of Kenya."
Livia,IT,Visited: September 2019,13-Sep-19,20-35,first safari,Enrico¢®?s Tours and Safaris,1,SCAM - STAY AWAY,"SCAM - PLEASE STAY AWAY

Enrico's tour was a nightmare, he took all our money and STOPPED PAYING for our accomodions and meals after day 3. He left us alone with the driver and no tour guide. WE HAD TO PAY FOR OUR OWN ACCOMODATION FOR TWO NIGHTS, AS WELL AS ALL THE MEALS AND ACTIVITIES WHICH SHOULD HAVE BEEN INCLUDED. He simply booked everything, and we were forced to pay out of pocket if we wanted a bed for the night. When we called Enrico, he was never reachable and when he did respond, he repeatedly lied to us. He even said he would give us our money back upon return to Windhoek, which never happened. The driver stopped multiple times because Enrico did not send the payment for the gas, which kept us waiting for hours. Please stay away from Enrico's tours."
Ljubo,KE,Visited: October 2022,10-Oct-22,20-35,first safari,Axis Africa Expedition & Safaris,2,Bad,"the mini bus was terrible, everywhere we ate the food was bad, our main day was delayed by an hour because of other passengers and at the end of the day we ran into a rhino and 10 lions on the hunt and the driver hurried home and didn't let us enjoy the scene 10 minuts more
the only reason for rating 2 is that we saw a big five"
lll,KE,Visited: September 2019,18-Oct-19,35-50,first safari,Lets Go Travel Uniglobe,2,"Incompetent at best, likely misleading, possibly even scamming","We are based in Nairobi but arranged a safari to the Masai Mara with transportation, accommodation and game drives. The travel agent did not disclose all of the fees, and, we're not sure, but suspect there may be some kind of kick-back scam. Were were also mislead us about the quality and type of safari vehicle, and then tried to back-date an email (which, of course, doesn't work), to try to ""prove"" we were given the information up front (we were not). The same vehicle was used to drive from Nairobi to the Mara as was used for the game drives. At least two of the seat belts were not functioning, and the ones that did clip were questionable if they would hold during an accident because they were so worn out. The vehicle was fine for the game drives, but certainly not a safe way to travel on Kenyan roads, particularly on the escarpment road with heavy truck traffic, lots of potholes, passing, and no guard rails. That said, the driver/guide was good.
Strongly recommend against booking with this company because of questionable ethics."
Lorenzo,IT,Visited: December 2019,04-Jan-20,35-50,over 5 safaris,Enrico¢®?s Tours and Safaris,1,Simply a crook,"Clarence Enrico Goastoeb appears as a crook. Simply. We even had to submit a criminal complaint to the Namibian Police and to the Tourist Officie, involving Diplomatic Authorities and discovering he has several other cases pending. We have booked a 11 days safari with some friends, all experienced travellers in Botzwana and Namibia. We have faced several serious problems since the beginning: to make a long story short different service (or no service at all)  from what booked, total lack of comunication. The most serious experience was the following: We were abandoned in the middle of the Jungle and we had to find an emergency place to survive and to book a private plane to escape from that mess. For what we understood Mr. Enrico's policy seems to be simple: to play with the good faith of his suppliers and clients and, at the end,  to try to not pay them/not give to them the service booked....keeping the clients'money in his pockets. Moreover Mr. Enrico uses as guides freelances in order to claim him unresponsable for them and vice-versa. Therefore sometimes the suppliers abandon him and his clients. In our experiences Mr. Enrico just ignored the problems hoping that the clients will find a solution by theirselves and they will not prosecute him for relative small money. All is organization and way of doing business is based on that ""philosofy"". Stay away from him. "
